City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
193,greymouth,-42.4667,171.2,12.26,85,63,0.37,NZ,1695073288
194,nieuw amsterdam,5.8833,-55.0833,31.01,66,20,3.09,SR,1695073288
195,burutu,5.3509,5.5076,25.23,87,100,1.23,NG,1695073288
196,suklayin,15.7574,121.5503,25.24,90,60,0.99,PH,1695073288
197,saldanha,-33.0117,17.9442,9.03,85,58,2.57,ZA,1695073288
198,iwanai,42.9744,140.5089,20.26,95,100,1.98,JP,1695073288
199,nizhneudinsk,54.9076,99.0276,8.13,85,69,0.85,RU,1695073289
200,acarau,-2.8856,-40.12,26.09,81,23,7.77,BR,1695073289
201,keene,42.9337,-72.2781,18.42,96,100,1.54,US,1695073289
202,new norfolk,-42.7826,147.0587,15.51,56,76,4.37,AU,1695073289
203,nadi,-17.8,177.4167,28.0,69,20,2.06,FJ,1695073173
204,gargalianoi,37.0667,21.6333,23.53,69,0,1.41,GR,1695073289
205,ravar,31.2656,56.8055,25.76,18,5,1.04,IR,1695073289
206,afaahiti,-17.75,-149.2833,25.93,89,97,6.14,PF,1695073289
207,qaqortoq,60.7167,-46.0333,3.73,64,0,2.21,GL,1695073289
208,vadso,70.0744,29.7487,5.49,87,75,1.03,NO,1695073290
209,funafuti,-8.5243,179.1942,31.0,89,75,6.69,TV,1695073043
210,morondava,-20.2833,44.2833,23.63,71,0,4.91,MG,1695073290
211,crane,31.3974,-102.3501,32.55,27,0,4.62,US,1695073290
212,sur,22.5667,59.5289,29.77,70,100,3.96,OM,1695073290
213,kapuskasing,49.4169,-82.4331,15.05,29,20,3.09,CA,1695073262
214,gamba,-2.65,10.0,23.57,86,97,2.78,GA,1695073290
215,homer,59.6425,-151.5483,12.94,50,0,3.09,US,1695073290
216,faya-largeau,17.9257,19.1043,31.24,11,24,5.08,TD,1695073290
217,andrelandia,-21.7397,-44.3092,21.77,37,4,2.41,BR,1695073291
218,berezovo,63.9381,65.0419,9.42,53,100,2.68,RU,1695073291
219,mafeteng,-29.823,27.2374,9.87,24,0,0.95,LS,1695073291
220,bonthe,7.5264,-12.505,24.85,91,100,3.41,SL,1695073291
221,waiuku,-37.25,174.75,17.61,60,4,2.93,NZ,1695073291
222,chefchaouene,35.1688,-5.2636,17.76,77,15,0.2,MA,1695073291
223,kristiansund,63.1115,7.732,17.03,59,0,3.6,NO,1695073291
224,jagannathpur,22.2333,85.65,23.63,90,100,1.79,IN,1695073291
225,eyl,7.9803,49.8164,25.54,77,20,9.24,SO,1695073291
226,el alto,-4.2714,-81.2147,23.81,73,41,8.66,PE,1695073292
227,nuuk,64.1835,-51.7216,4.34,60,20,2.06,GL,1695073292
228,peniche,39.3558,-9.3811,17.94,90,0,3.55,PT,1695073292
229,miles city,46.4083,-105.8406,31.54,12,0,10.29,US,1695073175
230,harper,4.375,-7.7169,25.63,86,100,4.09,LR,1695073292
